dbar,parameter,count,mean,std,min,25%,50%,75%,max
"(63, 64]",ctdpf_ckl_seawater_temperature,9973.000000,  12.295581,   2.898047,   6.588500,  10.212800,  11.635900,  14.270200,  19.826000
"(64, 65]",ctdpf_ckl_seawater_temperature,9953.000000,  12.333443,   2.868562,   6.607200,  10.285300,  11.719900,  14.297500,  19.830300
"(65, 66]",ctdpf_ckl_seawater_temperature,9893.000000,  12.370863,   2.843293,   6.609200,  10.351200,  11.766900,  14.295300,  19.831600
"(66, 67]",ctdpf_ckl_seawater_temperature,9925.000000,  12.426453,   2.809153,   6.600000,  10.419300,  11.827000,  14.405100,  19.838100
"(67, 68]",ctdpf_ckl_seawater_temperature,9998.000000,  12.460032,   2.775818,   6.607600,  10.470125,  11.834350,  14.435500,  19.845800
"(68, 69]",ctdpf_ckl_seawater_temperature,10050.000000,  12.499528,   2.746560,   6.612600,  10.531175,  11.902550,  14.490150,  19.850600
"(69, 70]",ctdpf_ckl_seawater_temperature,10237.000000,  12.487976,   2.696504,   6.616100,  10.554300,  11.872300,  14.317100,  19.834500
"(70, 71]",ctdpf_ckl_seawater_temperature,9847.000000,  12.614484,   2.682994,   6.614600,  10.734350,  12.063900,  14.691800,  19.817900
"(71, 72]",ctdpf_ckl_seawater_temperature,9812.000000,  12.662343,   2.654120,   6.635500,  10.803525,  12.130200,  14.864525,  19.769600
"(72, 73]",ctdpf_ckl_seawater_temperature,9726.000000,  12.692425,   2.612264,   6.649500,  10.882400,  12.162600,  14.757000,  19.643700
"(73, 74]",ctdpf_ckl_seawater_temperature,9922.000000,  12.714429,   2.555877,   6.649100,  10.983375,  12.215650,  14.672525,  19.624300
"(74, 75]",ctdpf_ckl_seawater_temperature,9852.000000,  12.752317,   2.524198,   6.659200,  11.013100,  12.227400,  14.771850,  19.608400
"(75, 76]",ctdpf_ckl_seawater_temperature,9808.000000,  12.789825,   2.483374,   6.674600,  11.109250,  12.270500,  14.836850,  19.608900
"(76, 77]",ctdpf_ckl_seawater_temperature,9848.000000,  12.832347,   2.442616,   6.685600,  11.175625,  12.341800,  14.851500,  19.611000
"(77, 78]",ctdpf_ckl_seawater_temperature,9794.000000,  12.846577,   2.392334,   6.706100,  11.227850,  12.365850,  14.826575,  19.608300
"(78, 79]",ctdpf_ckl_seawater_temperature,9813.000000,  12.873273,   2.352372,   6.714000,  11.293500,  12.382600,  14.868500,  19.428700
"(79, 80]",ctdpf_ckl_seawater_temperature,9822.000000,  12.904157,   2.309396,   6.735400,  11.357275,  12.440650,  14.868150,  19.419900
"(80, 81]",ctdpf_ckl_seawater_temperature,9789.000000,  12.919821,   2.269714,   6.735100,  11.406700,  12.476500,  14.858800,  19.413300
"(81, 82]",ctdpf_ckl_seawater_temperature,9772.000000,  12.951880,   2.236989,   6.741200,  11.437750,  12.533050,  14.944650,  19.361700
"(82, 83]",ctdpf_ckl_seawater_temperature,9738.000000,  12.984028,   2.197230,   6.743900,  11.477175,  12.575050,  14.993250,  19.338200
"(83, 84]",ctdpf_ckl_seawater_temperature,9681.000000,  12.999959,   2.153344,   6.749900,  11.512600,  12.590800,  15.005600,  19.314100
"(84, 85]",ctdpf_ckl_seawater_temperature,9629.000000,  13.064600,   2.115978,   6.770800,  11.613800,  12.659300,  15.062500,  19.299900
"(85, 86]",ctdpf_ckl_seawater_temperature,9585.000000,  13.070345,   2.079848,   6.801300,  11.651600,  12.667900,  14.988400,  19.252400
"(86, 87]",ctdpf_ckl_seawater_temperature,9601.000000,  13.098886,   2.034699,   6.816700,  11.719500,  12.709000,  14.974700,  19.064600
"(87, 88]",ctdpf_ckl_seawater_temperature,9690.000000,  13.118769,   1.989595,   6.825000,  11.787050,  12.729200,  14.968825,  18.752900
"(88, 89]",ctdpf_ckl_seawater_temperature,9930.000000,  13.114816,   1.930544,   6.858800,  11.852100,  12.708800,  14.890100,  18.578600
"(89, 90]",ctdpf_ckl_seawater_temperature,9643.000000,  13.164108,   1.920172,   6.900800,  11.901200,  12.782800,  14.970300,  18.182300
"(90, 91]",ctdpf_ckl_seawater_temperature,9586.000000,  13.192662,   1.881504,   6.907400,  11.953400,  12.808350,  14.952925,  18.027300
"(91, 92]",ctdpf_ckl_seawater_temperature,9495.000000,  13.217040,   1.843769,   6.889000,  12.011100,  12.828600,  14.961600,  18.021200
"(92, 93]",ctdpf_ckl_seawater_temperature,9778.000000,  13.207213,   1.806313,   6.860400,  12.042400,  12.814350,  14.931875,  18.257900
"(93, 94]",ctdpf_ckl_seawater_temperature,9733.000000,  13.216906,   1.779685,   6.870000,  12.039900,  12.825800,  14.928100,  18.449200
"(94, 95]",ctdpf_ckl_seawater_temperature,9767.000000,  13.282366,   1.738437,   6.905400,  12.147500,  12.885200,  14.945250,  18.431900
"(95, 96]",ctdpf_ckl_seawater_temperature,9503.000000,  13.297913,   1.704579,   6.942100,  12.193600,  12.883300,  14.949800,  18.410100
"(96, 97]",ctdpf_ckl_seawater_temperature,10102.000000,  13.286513,   1.643744,   7.074800,  12.241450,  12.877700,  14.888725,  18.208200
"(97, 98]",ctdpf_ckl_seawater_temperature,9637.000000,  13.332979,   1.637638,   7.095500,  12.275500,  12.907000,  14.910600,  18.055500
"(98, 99]",ctdpf_ckl_seawater_temperature,9481.000000,  13.350767,   1.612582,   7.106000,  12.302600,  12.913800,  14.921800,  17.948600
"(99, 100]",ctdpf_ckl_seawater_temperature,9632.000000,  13.349003,   1.575872,   7.222900,  12.320725,  12.916050,  14.905475,  17.808300
"(100, 101]",ctdpf_ckl_seawater_temperature,9663.000000,  13.368026,   1.535193,   7.318800,  12.349050,  12.939500,  14.886800,  17.323600
"(101, 102]",ctdpf_ckl_seawater_temperature,9779.000000,  13.351883,   1.511316,   7.338700,  12.358500,  12.912800,  14.870700,  16.804700
"(102, 103]",ctdpf_ckl_seawater_temperature,10103.000000,  13.432071,   1.455140,   7.347400,  12.433400,  12.994500,  14.883100,  16.735800
"(103, 104]",ctdpf_ckl_seawater_temperature,10469.000000,  13.487742,   1.431352,   7.358100,  12.487200,  13.064600,  14.876700,  16.701900
"(104, 105]",ctdpf_ckl_seawater_temperature,12031.000000,  13.582966,   1.402955,   7.568300,  12.520350,  13.195300,  14.938900,  16.716600
"(105, 106]",ctdpf_ckl_seawater_temperature,13946.000000,  13.690157,   1.392255,   7.729800,  12.594050,  13.791050,  14.965375,  16.721000
"(106, 107]",ctdpf_ckl_seawater_temperature,17968.000000,  13.925074,   1.327972,   7.781900,  12.727525,  14.566900,  15.020225,  16.720300
"(107, 108]",ctdpf_ckl_seawater_temperature,24406.000000,  13.917008,   1.228401,   7.903400,  12.850100,  14.419500,  14.950275,  16.729200
"(108, 109]",ctdpf_ckl_seawater_temperature,26770.000000,  13.853986,   1.230394,   7.984900,  12.780000,  14.043150,  14.962675,  16.738300
"(109, 110]",ctdpf_ckl_seawater_temperature,30524.000000,  13.683822,   1.170507,   8.133700,  12.682200,  13.324500,  14.828200,  16.623300
"(110, 111]",ctdpf_ckl_seawater_temperature,28698.000000,  13.321007,   1.128109,   8.320700,  12.557400,  12.957300,  14.545450,  16.616600
"(111, 112]",ctdpf_ckl_seawater_temperature,23318.000000,  13.359663,   1.172353,   8.407800,  12.586125,  12.976300,  14.638475,  16.616000
"(112, 113]",ctdpf_ckl_seawater_temperature,20340.000000,  12.914977,   0.978881,   8.512000,  12.405275,  12.773350,  13.106800,  16.504700
"(113, 114]",ctdpf_ckl_seawater_temperature,23510.000000,  12.783908,   1.075434,   8.537700,  12.267800,  12.720550,  13.009500,  16.407500
"(114, 115]",ctdpf_ckl_seawater_temperature,153729.000000,  13.315599,   1.085437,   8.747100,  12.564100,  12.940200,  14.495900,  16.338000
"(24, 25]",ctdpf_ckl_seawater_conductivity,59595.000000,   3.722860,   0.334520,   3.278360,   3.438550,   3.662850,   3.948860,   4.806270
"(25, 26]",ctdpf_ckl_seawater_conductivity,274336.000000,   3.782066,   0.390048,   3.278440,   3.452920,   3.691830,   3.978870,   4.807130
"(26, 27]",ctdpf_ckl_seawater_conductivity,63323.000000,   3.718566,   0.319356,   3.279300,   3.457740,   3.669570,   3.922680,   4.806980
"(27, 28]",ctdpf_ckl_seawater_conductivity,25506.000000,   3.725388,   0.303802,   3.280420,   3.449525,   3.698755,   3.920348,   4.806980
"(28, 29]",ctdpf_ckl_seawater_conductivity,18168.000000,   3.709238,   0.319225,   3.280600,   3.443150,   3.659295,   3.917978,   4.807050
"(29, 30]",ctdpf_ckl_seawater_conductivity,15371.000000,   3.707687,   0.329012,   3.284240,   3.440540,   3.650170,   3.922840,   4.807120
"(30, 31]",ctdpf_ckl_seawater_conductivity,12428.000000,   3.751828,   0.340728,   3.287720,   3.472965,   3.679960,   3.944013,   4.807230
"(31, 32]",ctdpf_ckl_seawater_conductivity,11149.000000,   3.759037,   0.354518,   3.287880,   3.464960,   3.687400,   3.962450,   4.807310
"(32, 33]",ctdpf_ckl_seawater_conductivity,10561.000000,   3.767617,   0.360192,   3.287880,   3.464390,   3.696780,   3.964790,   4.807320
"(33, 34]",ctdpf_ckl_seawater_conductivity,10631.000000,   3.771197,   0.360249,   3.287920,   3.468590,   3.698580,   3.966770,   4.807320
"(34, 35]",ctdpf_ckl_seawater_conductivity,10326.000000,   3.783138,   0.359744,   3.304500,   3.476298,   3.713625,   3.972543,   4.807380
"(35, 36]",ctdpf_ckl_seawater_conductivity,10361.000000,   3.790573,   0.361425,   3.304540,   3.480640,   3.724250,   3.975400,   4.807190
"(36, 37]",ctdpf_ckl_seawater_conductivity,10442.000000,   3.796641,   0.358743,   3.307910,   3.484875,   3.734030,   3.979938,   4.807160
"(37, 38]",ctdpf_ckl_seawater_conductivity,10278.000000,   3.799360,   0.357889,   3.308630,   3.489643,   3.737845,   3.981883,   4.807340
"(38, 39]",ctdpf_ckl_seawater_conductivity,10282.000000,   3.804592,   0.358519,   3.308710,   3.494368,   3.742070,   3.983575,   4.807480
"(39, 40]",ctdpf_ckl_seawater_conductivity,10281.000000,   3.813908,   0.358149,   3.308840,   3.503010,   3.751400,   3.988130,   4.807540
"(40, 41]",ctdpf_ckl_seawater_conductivity,10124.000000,   3.816162,   0.356939,   3.309130,   3.508705,   3.752570,   3.990838,   4.807990
"(41, 42]",ctdpf_ckl_seawater_conductivity,10120.000000,   3.824428,   0.358987,   3.308940,   3.515755,   3.761955,   3.996610,   4.812460
"(42, 43]",ctdpf_ckl_seawater_conductivity,10114.000000,   3.831236,   0.355005,   3.308980,   3.526930,   3.772325,   4.000750,   4.813980
"(43, 44]",ctdpf_ckl_seawater_conductivity,10151.000000,   3.836489,   0.354034,   3.309040,   3.536190,   3.779820,   4.002505,   4.814700
"(44, 45]",ctdpf_ckl_seawater_conductivity,10169.000000,   3.845592,   0.352764,   3.309200,   3.551530,   3.790080,   4.010180,   4.817320
"(45, 46]",ctdpf_ckl_seawater_conductivity,10107.000000,   3.850731,   0.350736,   3.309280,   3.564055,   3.793200,   4.015775,   4.817380
"(46, 47]",ctdpf_ckl_seawater_conductivity,10060.000000,   3.858678,   0.349617,   3.309300,   3.574193,   3.799270,   4.024555,   4.817460
"(47, 48]",ctdpf_ckl_seawater_conductivity,10189.000000,   3.865593,   0.346293,   3.309340,   3.591040,   3.809160,   4.024970,   4.817590
"(48, 49]",ctdpf_ckl_seawater_conductivity,10103.000000,   3.871188,   0.344342,   3.309480,   3.603170,   3.814850,   4.028880,   4.817730
"(49, 50]",ctdpf_ckl_seawater_conductivity,10056.000000,   3.878626,   0.344278,   3.309670,   3.615490,   3.815850,   4.042163,   4.817790
"(50, 51]",ctdpf_ckl_seawater_conductivity,10094.000000,   3.887159,   0.341614,   3.309690,   3.630783,   3.829095,   4.052615,   4.817810
"(51, 52]",ctdpf_ckl_seawater_conductivity,10127.000000,   3.895020,   0.338847,   3.310420,   3.643335,   3.842780,   4.054315,   4.817460
"(52, 53]",ctdpf_ckl_seawater_conductivity,10067.000000,   3.901826,   0.337647,   3.310450,   3.653115,   3.848020,   4.062840,   4.817380
"(53, 54]",ctdpf_ckl_seawater_conductivity,10038.000000,   3.908755,   0.335150,   3.311790,   3.663713,   3.854950,   4.074383,   4.816140
"(54, 55]",ctdpf_ckl_seawater_conductivity,10064.000000,   3.916318,   0.332219,   3.312570,   3.676730,   3.866270,   4.077270,   4.814710
"(55, 56]",ctdpf_ckl_seawater_conductivity,10123.000000,   3.924527,   0.331100,   3.313870,   3.687030,   3.876240,   4.084085,   4.814430
"(56, 57]",ctdpf_ckl_seawater_conductivity,10075.000000,   3.930762,   0.327020,   3.314900,   3.694980,   3.882560,   4.090790,   4.813020
"(57, 58]",ctdpf_ckl_seawater_conductivity,10034.000000,   3.939865,   0.325238,   3.317420,   3.703105,   3.897545,   4.103410,   4.815440
"(58, 59]",ctdpf_ckl_seawater_conductivity,10108.000000,   3.947691,   0.322760,   3.324210,   3.717290,   3.907300,   4.111867,   4.817210
"(59, 60]",ctdpf_ckl_seawater_conductivity,9929.000000,   3.956141,   0.321719,   3.342270,   3.722600,   3.915420,   4.132820,   4.821070
"(60, 61]",ctdpf_ckl_seawater_conductivity,9889.000000,   3.961844,   0.318232,   3.347600,   3.732400,   3.919260,   4.141660,   4.821490
"(61, 62]",ctdpf_ckl_seawater_conductivity,9978.000000,   3.969766,   0.315515,   3.347830,   3.743048,   3.927865,   4.151345,   4.823060
"(62, 63]",ctdpf_ckl_seawater_conductivity,9991.000000,   3.974859,   0.312326,   3.348140,   3.750380,   3.936740,   4.157430,   4.823470
"(63, 64]",ctdpf_ckl_seawater_conductivity,9973.000000,   3.983092,   0.310238,   3.349200,   3.759630,   3.943020,   4.175370,   4.827950
"(64, 65]",ctdpf_ckl_seawater_conductivity,9953.000000,   3.988314,   0.307034,   3.351360,   3.768600,   3.949040,   4.181390,   4.828280
"(65, 66]",ctdpf_ckl_seawater_conductivity,9893.000000,   3.994177,   0.304415,   3.351640,   3.776730,   3.954750,   4.188590,   4.828090
"(66, 67]",ctdpf_ckl_seawater_conductivity,9925.000000,   4.001551,   0.300511,   3.350550,   3.786940,   3.962540,   4.202300,   4.827110
"(67, 68]",ctdpf_ckl_seawater_conductivity,9998.000000,   4.006974,   0.296606,   3.351570,   3.795648,   3.962885,   4.208745,   4.828410
"(68, 69]",ctdpf_ckl_seawater_conductivity,10050.000000,   4.012729,   0.293580,   3.352170,   3.805405,   3.967770,   4.215545,   4.829220
"(69, 70]",ctdpf_ckl_seawater_conductivity,10237.000000,   4.013153,   0.288359,   3.352560,   3.807040,   3.967260,   4.208190,   4.827180
"(70, 71]",ctdpf_ckl_seawater_conductivity,9847.000000,   4.028335,   0.286826,   3.352480,   3.828600,   3.981640,   4.234470,   4.825000
"(71, 72]",ctdpf_ckl_seawater_conductivity,9812.000000,   4.035065,   0.283765,   3.354710,   3.837828,   3.987930,   4.243725,   4.819890
"(72, 73]",ctdpf_ckl_seawater_conductivity,9726.000000,   4.040118,   0.279466,   3.356320,   3.848298,   3.994070,   4.251322,   4.807720
"(73, 74]",ctdpf_ckl_seawater_conductivity,9922.000000,   4.044791,   0.273265,   3.356190,   3.860130,   4.000125,   4.245662,   4.806760
"(74, 75]",ctdpf_ckl_seawater_conductivity,9852.000000,   4.050083,   0.269840,   3.357620,   3.868197,   4.002965,   4.256110,   4.806320
"(75, 76]",ctdpf_ckl_seawater_conductivity,9808.000000,   4.055981,   0.265979,   3.359280,   3.877920,   4.009505,   4.263853,   4.805630
"(76, 77]",ctdpf_ckl_seawater_conductivity,9848.000000,   4.062668,   0.262022,   3.360600,   3.887520,   4.021220,   4.271018,   4.804940
"(77, 78]",ctdpf_ckl_seawater_conductivity,9794.000000,   4.065721,   0.256606,   3.362800,   3.895403,   4.025230,   4.272410,   4.804040
"(78, 79]",ctdpf_ckl_seawater_conductivity,9813.000000,   4.070348,   0.252615,   3.363870,   3.902870,   4.025130,   4.280010,   4.785500
"(79, 80]",ctdpf_ckl_seawater_conductivity,9822.000000,   4.075578,   0.248297,   3.366270,   3.911823,   4.030985,   4.283622,   4.763130
"(80, 81]",ctdpf_ckl_seawater_conductivity,9789.000000,   4.079074,   0.244214,   3.366390,   3.920020,   4.035170,   4.287450,   4.757640
"(81, 82]",ctdpf_ckl_seawater_conductivity,9772.000000,   4.084023,   0.241208,   3.367200,   3.924638,   4.043680,   4.296432,   4.775060
"(82, 83]",ctdpf_ckl_seawater_conductivity,9738.000000,   4.089363,   0.237491,   3.367510,   3.933265,   4.049965,   4.306750,   4.773170
"(83, 84]",ctdpf_ckl_seawater_conductivity,9681.000000,   4.092918,   0.233061,   3.368350,   3.940020,   4.053440,   4.308920,   4.755200
"(84, 85]",ctdpf_ckl_seawater_conductivity,9629.000000,   4.101689,   0.229570,   3.370660,   3.951320,   4.063860,   4.319400,   4.746800
"(85, 86]",ctdpf_ckl_seawater_conductivity,9585.000000,   4.104216,   0.226408,   3.374080,   3.955610,   4.067450,   4.315890,   4.744640
"(86, 87]",ctdpf_ckl_seawater_conductivity,9601.000000,   4.109385,   0.222036,   3.375920,   3.965130,   4.072420,   4.319250,   4.724970
"(87, 88]",ctdpf_ckl_seawater_conductivity,9690.000000,   4.113358,   0.217517,   3.377050,   3.972060,   4.075185,   4.316942,   4.699760
"(88, 89]",ctdpf_ckl_seawater_conductivity,9930.000000,   4.114842,   0.211523,   3.383110,   3.979610,   4.075245,   4.311587,   4.682290
"(89, 90]",ctdpf_ckl_seawater_conductivity,9643.000000,   4.122317,   0.211176,   3.388270,   3.986710,   4.089580,   4.324465,   4.653140
"(90, 91]",ctdpf_ckl_seawater_conductivity,9586.000000,   4.127058,   0.207220,   3.389140,   3.993500,   4.097290,   4.326370,   4.616430
"(91, 92]",ctdpf_ckl_seawater_conductivity,9495.000000,   4.131688,   0.203769,   3.388600,   4.000250,   4.100040,   4.328470,   4.587950
"(92, 93]",ctdpf_ckl_seawater_conductivity,9778.000000,   4.132498,   0.199958,   3.384640,   4.004367,   4.099625,   4.327297,   4.618000
"(93, 94]",ctdpf_ckl_seawater_conductivity,9733.000000,   4.135101,   0.197493,   3.386070,   4.006060,   4.102040,   4.327710,   4.668300
"(94, 95]",ctdpf_ckl_seawater_conductivity,9767.000000,   4.144567,   0.193615,   3.390990,   4.020860,   4.110240,   4.330985,   4.668350
"(95, 96]",ctdpf_ckl_seawater_conductivity,9503.000000,   4.147443,   0.189862,   3.393790,   4.028400,   4.111520,   4.331885,   4.666340
"(96, 97]",ctdpf_ckl_seawater_conductivity,10102.000000,   4.147725,   0.183946,   3.410280,   4.033905,   4.110305,   4.327660,   4.649290
"(97, 98]",ctdpf_ckl_seawater_conductivity,9637.000000,   4.154604,   0.183129,   3.412980,   4.040340,   4.119330,   4.332970,   4.636040
"(98, 99]",ctdpf_ckl_seawater_conductivity,9481.000000,   4.158235,   0.180797,   3.415340,   4.044490,   4.121830,   4.334040,   4.627200
"(99, 100]",ctdpf_ckl_seawater_conductivity,9632.000000,   4.159709,   0.177038,   3.429100,   4.047365,   4.122935,   4.334195,   4.620360
"(100, 101]",ctdpf_ckl_seawater_conductivity,9663.000000,   4.163423,   0.172893,   3.438050,   4.051975,   4.126440,   4.333250,   4.584160
"(101, 102]",ctdpf_ckl_seawater_conductivity,9779.000000,   4.162970,   0.170784,   3.439080,   4.052850,   4.125210,   4.333225,   4.522030
"(102, 103]",ctdpf_ckl_seawater_conductivity,10103.000000,   4.174157,   0.164639,   3.440320,   4.065015,   4.138380,   4.334850,   4.500760
"(103, 104]",ctdpf_ckl_seawater_conductivity,10469.000000,   4.181913,   0.162633,   3.442210,   4.072150,   4.144720,   4.336110,   4.489240
"(104, 105]",ctdpf_ckl_seawater_conductivity,12031.000000,   4.193373,   0.159778,   3.465930,   4.076830,   4.161310,   4.342765,   4.503570
"(105, 106]",ctdpf_ckl_seawater_conductivity,13946.000000,   4.208239,   0.160144,   3.489030,   4.087578,   4.220760,   4.350950,   4.486310
"(106, 107]",ctdpf_ckl_seawater_conductivity,17968.000000,   4.236713,   0.153191,   3.495230,   4.103268,   4.303170,   4.359950,   4.486610
"(107, 108]",ctdpf_ckl_seawater_conductivity,24406.000000,   4.236469,   0.140358,   3.509440,   4.119710,   4.277640,   4.348288,   4.487700
"(108, 109]",ctdpf_ckl_seawater_conductivity,26770.000000,   4.228552,   0.139646,   3.518580,   4.111900,   4.245845,   4.349195,   4.492610
"(109, 110]",ctdpf_ckl_seawater_conductivity,30524.000000,   4.209728,   0.131440,   3.535590,   4.097455,   4.184560,   4.336290,   4.485170
"(110, 111]",ctdpf_ckl_seawater_conductivity,28698.000000,   4.169270,   0.129187,   3.556500,   4.081410,   4.137305,   4.300835,   4.484950
"(111, 112]",ctdpf_ckl_seawater_conductivity,23318.000000,   4.174950,   0.133981,   3.567530,   4.084305,   4.140400,   4.324073,   4.478220
"(112, 113]",ctdpf_ckl_seawater_conductivity,20340.000000,   4.126247,   0.115252,   3.579640,   4.060983,   4.112430,   4.153620,   4.468190
"(113, 114]",ctdpf_ckl_seawater_conductivity,23510.000000,   4.112753,   0.128990,   3.581970,   4.048700,   4.108690,   4.153070,   4.461240
"(114, 115]",ctdpf_ckl_seawater_conductivity,153729.000000,   4.176135,   0.126043,   3.607020,   4.091550,   4.141610,   4.315150,   4.456200
