dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(80, 85]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",123567.000000, 171.890370,  28.635079, 104.226463, 155.007340, 169.685680, 188.503915, 254.006641
"(85, 90]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",125252.000000, 170.783079,  28.769573, 104.495844, 153.772756, 168.968433, 188.335157, 252.003120
"(90, 95]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",125745.000000, 168.926608,  28.407458, 103.041019, 152.228162, 167.155504, 186.298970, 249.044909
"(95, 100]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",124019.000000, 168.433472,  28.396269, 102.005314, 152.362918, 167.435458, 186.292395, 247.362384
"(100, 105]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",123449.000000, 167.971801,  28.231088, 102.238805, 152.130657, 167.610432, 185.625027, 245.442302
"(105, 110]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",122249.000000, 167.032647,  28.284638, 102.639555, 149.645101, 166.827888, 185.264296, 244.282255
"(110, 115]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",119290.000000, 166.841001,  28.246863, 102.734094, 150.619295, 167.440573, 184.808342, 243.352264
"(115, 120]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",121252.000000, 166.671531,  28.045135, 103.679374, 150.982543, 167.658177, 184.997360, 242.304933
"(120, 125]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",120940.000000, 166.167232,  28.022932, 103.523153, 150.774938, 167.166211, 184.816572, 239.527920
"(125, 130]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",118069.000000, 165.295239,  28.097916, 102.200042, 149.580982, 166.102109, 183.566401, 237.250838
"(130, 135]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",118628.000000, 164.807398,  28.243936, 101.880306, 149.143863, 164.910040, 183.451327, 236.175805
"(135, 140]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",120996.000000, 163.834311,  28.172288, 101.820199, 148.975127, 162.078153, 182.471941, 235.036884
"(140, 145]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",119077.000000, 162.886053,  28.423692, 101.108226, 147.315397, 160.621897, 181.771869, 233.771984
"(145, 150]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",119063.000000, 162.219287,  28.761082, 100.486558, 145.980342, 159.494761, 180.976534, 233.125724
"(150, 155]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",117872.000000, 160.884265,  28.929880,  99.583885, 143.857932, 157.937597, 179.874495, 232.881096
"(155, 160]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",118387.000000, 159.569389,  29.038190,  97.719811, 142.475644, 155.847061, 178.225860, 232.829886
"(160, 165]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",119972.000000, 158.205287,  29.223039,  96.597032, 140.995700, 154.499108, 176.856384, 232.484748
"(165, 170]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",121604.000000, 156.514653,  28.930527,  96.017612, 139.296007, 153.506325, 174.509909, 232.165644
"(170, 175]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",121015.000000, 155.269037,  29.585243,  94.889918, 137.268029, 151.673430, 173.089965, 233.465998
"(175, 180]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",124168.000000, 153.531725,  28.960630,  94.149512, 135.924223, 151.022324, 170.104494, 233.770092
"(180, 185]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",127220.000000, 151.933373,  28.061820,  93.086615, 134.348317, 150.132047, 167.153387, 230.649841
