array,platform,deploymentNumber,deployment,CTD_CruiseName,CTD_CruiseLeg,CTD_cast,CTD_Date,CTD_lat,CTD_lon,alfresco_location_primary,Quick_Look,Cruise_Report,CTD_cast_file,CTDlog,Chla,Nutrients,DIC_TA_pH
Coastal_Pioneer,CP01CNSM,7.0,R00007,Pioneer09,AR-24A,14.0,2017-10-24T23:10:09,40.13866667,-70.77916667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00902_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_1_2017-10-25_Ver_1-00.pdf,missing,Ship Data/Leg 1 (AR24a)/ctd/process/ar24014.cnv,Ship Data/Water Sampling/Pioneer_9_Leg_1_CTD_sampling_log.xlsx,Ship Data/Water Sampling/no_samples,Ship Data/Water Sampling/no_samples,Ship Data/Water Sampling/no_samples
Coastal_Pioneer,CP01CNSM,7.0,R00007,Pioneer09,AR-24B,7.0,2017-10-29T14:42:27,40.13566667,-70.7745,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00903_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_2_2017-11-13_Ver_1-00.pdf,missing,Ship Data/Leg 2 (AR24b)/ctd/process/ar24b007.cnv,Ship Data/Water Sampling/Pioneer_9_Leg_2_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-9_AR-24B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,7.0,R00007,Pioneer09,AR-24B,14.0,2017-11-03T16:05:46,40.1365,-70.774,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00903_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_2_2017-11-13_Ver_1-00.pdf,missing,Ship Data/Leg 2 (AR24b)/ctd/process/ar24b014.cnv,Ship Data/Water Sampling/Pioneer_9_Leg_2_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-9_AR-24B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,8.0,D00008,Pioneer09,AR-24B,7.0,2017-10-29T14:42:27,40.13566667,-70.7745,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00903_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_2_2017-11-13_Ver_1-00.pdf,missing,Ship Data/Leg 2 (AR24b)/ctd/process/ar24b007.cnv,Ship Data/Water Sampling/Pioneer_9_Leg_2_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-9_AR-24B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,8.0,R00008,Pioneer10,AR-28A,2.0,2018-03-24T22:35:59,40.13616667,-70.77433333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10_AR-28_2018-03-23/,3204-01002_Quick_Look_Report_Pioneer_10_Leg_1_2018-04-03_Ver_1-00.pdf,3204-01004_Cruise_Report_Coastal_Pioneer_10_2018-09-14_Ver_1-00.pdf,Ship Data/Leg 1 (AR28a)/ctd/process/ar28a002.cnv,Ship Data/Water Sampling/Pioneer-10_CTD_sampling_log_Leg_1.xlsx,missing,Ship Data/Water Sampling/AR-28_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,9.0,D00009,Pioneer10,AR-28A,2.0,2018-03-24T22:35:59,40.13616667,-70.77433333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10_AR-28_2018-03-23/,3204-01002_Quick_Look_Report_Pioneer_10_Leg_1_2018-04-03_Ver_1-00.pdf,3204-01004_Cruise_Report_Coastal_Pioneer_10_2018-09-14_Ver_1-00.pdf,Ship Data/Leg 1 (AR28a)/ctd/process/ar28a002.cnv,Ship Data/Water Sampling/Pioneer-10_CTD_sampling_log_Leg_1.xlsx,missing,Ship Data/Water Sampling/AR-28_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,9.0,D00009,Pioneer10,AR-28A,7.0,2018-03-31T22:48:20,40.138000000000005,-70.777,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10_AR-28_2018-03-23/,3204-01002_Quick_Look_Report_Pioneer_10_Leg_1_2018-04-03_Ver_1-00.pdf,3204-01004_Cruise_Report_Coastal_Pioneer_10_2018-09-14_Ver_1-00.pdf,Ship Data/Leg 1 (AR28a)/ctd/process/ar28a007.cnv,Ship Data/Water Sampling/Pioneer-10_CTD_sampling_log_Leg_1.xlsx,missing,Ship Data/Water Sampling/AR-28_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSP,4.0,D00004,Pioneer04a,,2.0,,,,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-04a_SI_2015-07-22/,3204-00405_Quick_Look_Cruise_Report_Coastal_Pioneer_4a_2015-07-31_Ver_1-00.pdf,not_expected,missing,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,CP01CNSP,4.0,R00004,Pioneer05,,,,,,,,,,,,,
Coastal_Pioneer,CP02PMCI,1.0,D00001,Pioneer02,,8.0,2014-04-17T01:09:51,40.226,-70.8835,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-02_KN-217_2014-04-11/,3204-00202_Quick_Look_Cruise_Report_Pioneer_2_2014-04-28_ver_1-00.pdf,3204-00203_Cruise_Report_Coastal_Pioneer_2_2014-12-01_Ver_1-00.pdf,Ship Data/ctd/process/kn217008.cnv,Ship Data/Water Sampling/Pioneer2_KN-217_sampling_log-1.xlsx,Ship Data/Water Sampling/CHLs KN-214.xls,Ship Data/Water Sampling/Pioneer II Nutrient Data 2014.xlsx,"Ship Data/Water Sampling/Pioneer II_Spring2014_DIC,TA, pH data.xlsx"
