deployment,file_downloaded,method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,mean,min,max,stdev,filename
deployment0004,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_pressure,dbar,-9999.0,36652,21,0,0,36631,41.8928,38.1185,47.7116,1.0875,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20160701T011501-20170717T200001.nc
deployment0004,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,density,kg m-3,-9999999.0,36652,8,0,0,36644,1025.6878,1024.0183,1026.5412,0.2889,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20160701T011501-20170717T200001.nc
deployment0005,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,35581,122,1,0,35458,32.4543,30.1713,33.98,0.1337,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
deployment0005,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,35581,123,0,0,35458,3.3482,3.1794,3.8529,0.1379,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
deployment0005,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,35581,37,0,0,35544,7.5866,5.5331,16.1015,1.6755,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
deployment0005,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,35581,125,0,0,35456,40.2051,36.4316,50.7345,1.0166,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
deployment0005,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,35581,122,1,0,35458,1025.5103,1022.8618,1027.2086,0.3065,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
deployment0005,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,practical_salinity,1,-9999999.0,36181,22,1,0,36158,32.4546,31.4164,33.4758,0.1261,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20170713T230001-20180725T200001.nc
deployment0005,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_conductivity,S m-1,-9999999.0,36181,2,0,0,36179,3.3525,3.1794,3.8529,0.1397,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20170713T230001-20180725T200001.nc
deployment0005,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_temperature,ºC,-9999999.0,36181,0,0,0,36181,7.6172,5.5331,13.4182,1.6553,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20170713T230001-20180725T200001.nc
deployment0005,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_pressure,dbar,-9999.0,36181,5,0,0,36176,40.2023,36.4131,44.4961,1.0107,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20170713T230001-20180725T200001.nc
deployment0005,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,density,kg m-3,-9999999.0,36181,5,1,0,36175,1025.5033,1023.8755,1026.6096,0.3065,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20170713T230001-20180725T200001.nc
deployment0006,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,practical_salinity,1,-9999999.0,141,0,0,0,141,32.3863,32.1218,32.6171,0.0562,deployment0006_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20180724T000001-20180816T080001.nc
deployment0006,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_conductivity,S m-1,-9999999.0,141,0,0,0,141,3.5783,3.4258,3.8911,0.0631,deployment0006_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20180724T000001-20180816T080001.nc
deployment0006,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_temperature,ºC,-9999999.0,141,0,0,0,141,10.2748,8.4527,13.8249,0.7256,deployment0006_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20180724T000001-20180816T080001.nc
deployment0006,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_pressure,dbar,-9999.0,141,0,0,0,141,32.0086,29.7512,34.3346,0.809,deployment0006_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20180724T000001-20180816T080001.nc
deployment0006,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,density,kg m-3,-9999999.0,141,0,0,0,141,1025.013,1024.3065,1025.3823,0.1463,deployment0006_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20180724T000001-20180816T080001.nc
