,parameter,deployments,count,mean,std,min,25%,50%,75%,max
68,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228307.000000,  33.863558,   0.102935,  33.289937,  33.809387,  33.889800,  33.939296,  34.012452
69,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",226989.000000,  33.883030,   0.092124,  33.300437,  33.837276,  33.905345,  33.948955,  34.019939
70,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",226507.000000,  33.899528,   0.082702,  33.306701,  33.861472,  33.917684,  33.957047,  34.028748
71,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228795.000000,  33.913417,   0.074135,  33.315124,  33.880729,  33.927314,  33.963202,  34.029542
72,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",225278.000000,  33.925737,   0.067785,  33.261451,  33.897252,  33.937285,  33.969871,  34.041699
73,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",225253.000000,  33.936244,   0.061448,  33.321766,  33.910035,  33.945811,  33.975362,  34.037197
74,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",225248.000000,  33.945658,   0.056043,  33.309410,  33.921123,  33.953223,  33.980984,  34.044964
75,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",224731.000000,  33.953790,   0.051731,  33.335592,  33.931058,  33.959494,  33.985426,  34.048834
76,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",224533.000000,  33.960893,   0.048400,  32.196282,  33.938441,  33.965170,  33.989842,  34.089959
77,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",224030.000000,  33.967568,   0.045294,  33.420682,  33.945672,  33.970672,  33.994043,  34.127928
78,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223900.000000,  33.973726,   0.043559,  33.235107,  33.952686,  33.975880,  33.998370,  34.128210
79,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223861.000000,  33.979594,   0.040993,  33.094488,  33.959258,  33.980888,  34.002953,  34.122018
80,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223742.000000,  33.985150,   0.039462,  33.574765,  33.965534,  33.985565,  34.007485,  34.074446
81,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223459.000000,  33.990616,   0.038159,  33.191079,  33.971374,  33.990553,  34.011698,  34.081402
82,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223011.000000,  33.995754,   0.037347,  33.577591,  33.976464,  33.995681,  34.015924,  34.088525
